Città,Latitudini reali,Secondo Tolomeo,Differenza,Longitudini reali da Greenwich,Longitudini date da Tolomeo
Gibilterra,36°7’30’’,36°15’,7’30’’,5°21’W,7°30’
Malaga,36°43’,37°30’,47’,4°25’W,8°50’
Cordova,37°53’,38°05’,12’,4°47’W,9°20’
Abdara (oggi Adra),36°45’,37°10’,25’,3°1’W,10°45’
Cartagena,37°36’,37°55’,19’,0°59’W,12°15’
Tarragona,41°07’,40°40’,27’,1°15’,16°20’
Barcellona,41°22’,41°,22’,2°10’,17°15’
Numanzia (oggi Garray),41°49’,41°50’,1’,2°27’W,12°30’
Sagunto,39°41’,39°20’,21’,0°16’W,14°35’
Tolosa,43°36’,44°15’,39’,1°25’,20°10’
Marsiglia,43°18’,43°5’,13’,5°23’,24°30’
Olbia (oggi Hyères),43°07’,42°45’,22’,6°08’,25°10’
Genova,44°25’,42°50’,1°35’,8°56’,30°
Populonia,42°59’,42°,59’,10°29’,33°30’
Roma,41°54’,41°40’,14’,12°29’,36°40’
Cuma (oggi Arco Felice),40°51’,41°10’,19’,14°04’,39°20’
Paestum,40°25’,40°,25’,15°00’,40°10’
Crotone,39°05’,39°10’,5’,17°07’,41°30’
Reggio Calabria,38°07’,39°15’,1°8’,15°39’,39°50’
Taranto,40°28’,40°,28’,17°14’,41°30’
Brindisi,40°38’,39°40’,58’,17°57’,42°30’
Ravenna,44°25’,44°,25’,12°12’,34°40’
Ancona,43°37’,43°40’,3’,13°31’,36°30’
Camerino,43°8’,43°,8’,13°04’,36°
Capua (oggi S. Maria C.V.),41°5’,41°10’,5’,14°15’,40°
Palermo,38°7’,37°,1°7’,13°22’,37°
Siracusa,37°5’,37°15’,10’,15°17’,39°30’
Pola,44°52’,44°40’,12’,13°51’,36°
Abdera,40°57’,41°45’,48’,24°59’,52°10’
Bisanzio,41°00’,43°12’,2°12’,28°58’,56°
Filippopoli,42°09’,42°45’,36’,24°45’,52°30’
Pella,40°46’,40°5’,41’,22°31’,49°20’
Stagira,40°32’,41°10’,38’,23°45’,50°20’
Atene,37°58’,37°15’,43’,23°43’,52°45’
Tebe,38°19’,37°55’,24’,23°19’,52°40’
Delfi,38°29’,37°40’,49’,22°30’,50°
Corinto,37°56’,36°55’,1°1’,22°56’,51°15’
Sparta,37°4’,35°30’,1°34’,22°25’,50°15’
Tingis Caesarea (oggi Tangeri),35°46’,35°55’,9’,5°48’W,6°30’
Ippona,36°54’,32°15’,4°39’,7°46’,30°20’
Cartagine,36°53’,32°40’,4°13’,10°19’,34°50’
Leptis Magna,32°38’,31°40’,58’,14°19’,42°
Berenice,32°7’,31°20’,47’,20°04’,47°45’
Tolemaide,32°43’,31°10’,1°33’,20°57’,49°05’
Cirene,32°49’,31°20’,1°29’,21°51’,50°
Alessandria,31°12’,31°,12’,29°55’,60°30’
Naucrati,30°54’,30°30’,24’,30°37’,61°15’
Ossirinco,28°32’,28°50’,18’,30°40’,61°40’
Syene (oggi Assuan),24°5’,23°50’,15’,32°56’,62°
Arsinoe in Etiopia (oggi Assab),13°1’,10°40’,2°21’,42°44’,73°45’
Calcedonia,40°59’,43°05’,2°6’,29°2’,56°5’
Nicomedia,40°46’,42°30’,1°44’,29°55’,57°30’
Lampsaco,40°21’,41°25’,1°24’,26°41’,55°20’
Pitane,38°56’,39°45’,49’,26°56’,56°10’
Mileto,37°31’,37°,31’,27°17’,58°
Pergamo,39°7’,39°45’,38’,27°11’,57°25’
Sardi,38°29’,38°45’,16’,28°02’,58°20’
Mitilene,39°6’,39°40’,34’,26°33’,55°40’
Lindo (nell’isola di Rodi),36°5’,36°,5’,28°05’,58°40’
Samo,37°45’,37°35’,10’,26°50’,57°
Sinope,42°2’,44°,1°58’,35°09’,63°50’
Perge,36°58’,36°50’,8’,30°51’,62°15
Cesarea (in Cappadocia),38°44’,39°30’,46’,35°29’,66°30’
Tarso,36°55’,36°50’,5’,34°54’,67°40’
"Fasi (in Colchide, oggi Poti)",42°9’,44°45’,2°36’,41°40’,72°30’
Sidone,33°34’,33°30’,4’,35°22’,67°10’
Antiochia sull’Oronte,36°12’,35°30’,42’,36°09’,69°
Apamea,35°25’,34°45’,40’,36°24’,70°
Carre,36°51’,36°10’’,41,39°13’,73°15’
Damasco,33°31’,33°,31’,36°18’,69°
Gerusalemme,31°47’,31°40’,7’,35°13’,66°
Gaza,31°31’,31°45’,14’,34°27’,65°25’
Petra,30°20’,30°20’,0,35°27’,66°45’
Seleucia al Tigri,33°6’,35°40’,2°34’,44°31’,79°20’
Babilonia,32°28’,35°,2°32’,44°25’,79°
Susa,32°11’,34°15’,2°4’,48°15’,84°
Ecbatana,34°48’,37°45’,2°57’,48°31’,88°
Persepoli,29°56’,33°20’,3°24’,52°53’,90°15’
Hecatompylon,35°58’,37°50’,1°52’,54°02’,96°
Antiochia Margiana (oggi Merv)  ,37°36’ ,40°40,3°4’,61°50’,106°
